Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,FLAXSEED,"FLAXSEED - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,13.4,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,165,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,140,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,180,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,LENTILS,"LENTILS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,36.1,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,OATS,"OATS - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.52,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,PEANUTS,"PEANUTS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.259,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,PEAS,"PEAS, DRY EDIBLE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,13.4,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,14.2,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE, LONG GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,13.7,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE, MEDIUM-SHORT GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,16.1,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,SORGHUM,"SORGHUM, GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,7.6,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,10.2,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,26.9,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER, NON-OIL TYPE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,25.4,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER, OIL TYPE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,27.2,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.61,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.69,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, SPRING, DURUM - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.76,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, SPRING, RED, HARD - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.7,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WHITE - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.67,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.38,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WINTER, RED, HARD - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.17,
SURVEY,2025,APR,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WINTER, RED, SOFT - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.67,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.58,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY, FEED - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.03,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY, MALTING - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.83,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,32,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,CANOLA,"CANOLA - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,21.7,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,24.9,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS, LARGE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,27.2,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS, SMALL - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,19.4,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.96,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,COTTON,"COTTON, COTTONSEED - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED, (S),
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,COTTON,"COTTON, UPLAND - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.571,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,FLAXSEED,"FLAXSEED - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,14.2,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,158,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,138,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,166,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,LENTILS,"LENTILS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,27.5,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,OATS,"OATS - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.27,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,PEANUTS,"PEANUTS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.267,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,PEAS,"PEAS, DRY EDIBLE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,11.4,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,13.7,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE, LONG GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,12.2,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE, MEDIUM-SHORT GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,17.3,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,SORGHUM,"SORGHUM, GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,6.45,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,10,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,29,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER, NON-OIL TYPE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,30.9,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER, OIL TYPE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,26.4,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.84,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.13,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, SPRING, DURUM - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.71,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, SPRING, RED, HARD - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.12,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WHITE - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.35,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.67,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WINTER, RED, HARD - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.46,
SURVEY,2025,AUG,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WINTER, RED, SOFT - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.9,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.86,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY, FEED - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.71,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY, MALTING - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.36,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,36.2,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,CANOLA,"CANOLA - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,20.9,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,28.1,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS, LARGE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,29.1,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS, SMALL - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,26.2,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.58,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,COTTON,"COTTON, COTTONSEED - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,248,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,COTTON,"COTTON, UPLAND - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.629,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,FLAXSEED,"FLAXSEED - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,12.5,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,154,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,147,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,159,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,LENTILS,"LENTILS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,36,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,OATS,"OATS - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.41,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,PEANUTS,"PEANUTS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.253,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,PEAS,"PEAS, DRY EDIBLE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,13.3,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,15.3,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE, LONG GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,14.3,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE, MEDIUM-SHORT GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,18.4,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,SORGHUM,"SORGHUM, GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,7.99,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,10.2,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,25.2,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER, NON-OIL TYPE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,30.3,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER, OIL TYPE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,24,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.59,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.91,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, SPRING, DURUM - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.88,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, SPRING, RED, HARD - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.93,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WHITE - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.35,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.37,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WINTER, RED, HARD - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.32,
SURVEY,2025,FEB,,NATIONAL,US TOTAL,,,,,,,,00000000,,WHEAT,"WHEAT, WINTER, RED, SOFT - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,5.84,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.12,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY, FEED - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.85,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,BARLEY,"BARLEY, MALTING - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,6.36,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,38.7,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,CANOLA,"CANOLA - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,20.1,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,28.2,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS, LARGE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,31.2,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,CHICKPEAS,"CHICKPEAS, SMALL - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,23.4,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,4.29,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,COTTON,"COTTON, COTTONSEED - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,217,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,COTTON,"COTTON, UPLAND - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.62,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,FLAXSEED,"FLAXSEED - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,12.8,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,154,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY, (EXCL ALFALFA) - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,144,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,161,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,LENTILS,"LENTILS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,36.2,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,OATS,"OATS - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,3.47,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,PEANUTS,"PEANUTS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.255,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,PEAS,"PEAS, DRY EDIBLE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,14.1,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,16.8,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE, LONG GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,14.5,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,RICE,"RICE, MEDIUM-SHORT GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,22.4,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,SORGHUM,"SORGHUM, GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,7.44,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,SOYBEANS,"SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,NOT SPECIFIED,10,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,23.1,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER, NON-OIL TYPE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,26.8,
SURVEY,2025,JAN,,NATIONAL,US TOTAL,,,,,,,,00000000,,SUNFLOWER,"SUNFLOWER, OIL TYPE - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,NOT SPECIFIED,22.2,
